Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time_Days,Stay_Length_Days,Total_Guests,Total_Bill_amount,Booking_month,Booking_dayofweek,Checkin_month,Checkin_dayofweek
M,44,Latino,High-School,<25K,North,Airport Hotels,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,20,191,115,3,3,458.40000000000003,3,6,7,2
F,43,Latino,College,50K -- 100K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,246,39,1,4,184.5,5,0,6,4
F,23,African American,High-School,50K -- 100K,North,City Hotel,3,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,237,35,1,4,213.3,6,0,7,0
M,21,caucasian,College,50K -- 100K,South,Airport Hotels,1,2,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,208,66,4,3,624.0,5,5,7,1
F,35,African American,Mid-School,25K --50K,South,Airport Hotels,1,1,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,30,159,44,1,2,111.3,4,5,5,0
F,36,caucasian,Mid-School,25K --50K,South,Resort,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,188,42,3,4,507.6,5,1,7,1
F,51,African American,College,50K -- 100K,East,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,134,15,1,3,107.2,6,0,7,1
F,29,caucasian,College,50K -- 100K,North,Airport Hotels,2,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,20,218,69,1,3,174.4,4,2,7,1
F,68,caucasian,High-School,50K -- 100K,East,Airport Hotels,1,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,101,103,4,3,404.0,3,5,7,3
M,44,Asian American,College,50K -- 100K,West,Resort,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,No,0,124,44,3,3,372.0,4,6,6,1
M,68,Latino,High-School,<25K,South,Airport Hotels,1,1,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,238,112,1,2,178.5,3,3,7,3
M,69,caucasian,Grad,<25K,South,Resort,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,150,86,4,4,600.0,4,1,7,3
F,66,African American,Grad,>100K,North,Airport Hotels,1,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,111,49,1,3,105.44999999999999,5,3,7,3
F,32,Asian American,Grad,50K -- 100K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,240,110,3,4,576.0,3,5,7,3
M,59,Latino,High-School,25K --50K,South,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,40,237,92,1,4,142.2,4,6,7,0
M,44,African American,College,50K -- 100K,West,City Hotel,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,228,75,1,4,228.0,5,5,7,3
F,48,Latino,High-School,50K -- 100K,East,City Hotel,2,2,1,BB,Yes,Yes,No Deposit,Online,No,Check-In,Yes,25,175,2,1,4,131.25,7,2,7,4
M,60,Latino,High-School,>100K,South,Airport Hotels,2,1,1,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,10,143,13,1,3,128.70000000000002,6,6,7,5
F,26,Asian American,High-School,<25K,East,City Hotel,1,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,225,9,1,2,213.75,6,3,7,5
M,52,caucasian,Grad,>100K,South,Airport Hotels,3,1,1,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,25,201,4,1,4,150.75,6,1,7,5
M,24,caucasian,High-School,25K --50K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,123,16,1,4,123.0,6,4,7,6
F,26,Asian American,Mid-School,25K --50K,North,City Hotel,1,3,0,HB,Yes,Yes,Refundable,Online,No,Check-In,Yes,15,179,1,2,4,304.3,6,6,6,0
F,26,African American,College,<25K,North,City Hotel,1,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,10,232,9,1,2,208.8,6,4,7,6
F,69,Asian American,Grad,>100K,South,Airport Hotels,1,1,2,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,30,127,2,1,2,88.89999999999999,7,4,7,6
M,42,Latino,College,50K -- 100K,East,Resort,3,1,0,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,10,174,70,1,4,156.6,4,1,6,1
F,61,caucasian,College,50K -- 100K,East,Resort,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,219,61,2,3,394.2,4,5,6,3
M,63,caucasian,College,50K -- 100K,West,Resort,1,3,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,146,61,1,4,102.19999999999999,5,6,7,4
M,67,Asian American,College,<25K,West,Resort,1,2,1,HB,No,No,No Deposit,Online,No,Check-In,No,0,214,1,1,3,214.0,7,5,7,6
M,46,caucasian,College,25K --50K,South,Airport Hotels,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,212,45,3,4,445.2,4,5,5,1
F,28,caucasian,College,<25K,South,City Hotel,1,2,1,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,5,227,96,3,3,646.9499999999999,4,1,7,6
F,62,Latino,Grad,50K -- 100K,South,Resort,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,231,80,1,3,207.9,3,5,6,1
M,58,Asian American,Mid-School,50K -- 100K,East,Resort,2,1,0,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,25,169,95,4,3,507.0,4,3,7,0
F,34,Latino,College,<25K,South,City Hotel,1,1,0,HB,Yes,No,Refundable,Online,No,Check-In,Yes,25,188,323,1,2,141.0,8,3,7,4
M,31,caucasian,Grad,25K --50K,East,City Hotel,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,100,66,3,4,270.0,5,1,7,4
M,37,Asian American,College,<25K,East,City Hotel,2,1,1,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,40,170,76,3,3,306.0,1,3,4,2
F,51,Asian American,Mid-School,<25K,West,City Hotel,2,1,1,BB,No,No,No Deposit,Direct,No,Check-In,Yes,20,146,9,3,3,350.40000000000003,6,3,7,5
M,47,Latino,Grad,25K --50K,West,Resort,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,121,8,1,2,108.9,6,4,7,5
M,51,African American,Grad,<25K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,138,19,2,2,193.2,6,0,7,5
F,39,African American,Grad,<25K,South,Airport Hotels,1,1,0,BB,No,No,Refundable,Agent,No,Check-In,Yes,20,242,6,3,2,580.8000000000001,6,6,7,5
M,29,Asian American,College,50K -- 100K,West,Resort,1,2,1,BB,Yes,Yes,Refundable,Direct,No,Check-In,Yes,5,203,107,2,3,385.7,3,3,7,5
M,46,African American,High-School,25K --50K,North,Airport Hotels,2,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,235,108,1,3,235.0,2,5,5,1
F,66,African American,Mid-School,50K -- 100K,West,Airport Hotels,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,205,71,1,3,174.25,4,6,6,0
M,49,African American,Mid-School,25K --50K,South,Resort,1,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,215,62,1,3,204.25,3,3,5,2
F,38,Latino,Mid-School,>100K,West,Airport Hotels,2,1,0,HB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,240,61,2,3,456.0,5,6,7,4
M,57,Latino,Grad,25K --50K,South,City Hotel,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,226,97,4,4,632.8,4,5,7,4
M,46,caucasian,College,50K -- 100K,South,City Hotel,1,1,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,164,100,2,2,295.2,4,2,7,4
F,23,Asian American,College,<25K,South,City Hotel,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,158,94,4,4,632.0,4,5,7,1
F,32,Asian American,High-School,25K --50K,North,Resort,2,2,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,15,204,90,2,4,346.8,4,5,7,4
M,28,Latino,High-School,<25K,South,Airport Hotels,3,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,5,117,94,1,4,111.14999999999999,4,1,7,4
F,47,caucasian,College,25K --50K,West,Airport Hotels,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,209,99,3,4,532.9499999999999,4,4,7,5
F,35,Latino,Grad,25K --50K,South,Airport Hotels,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,229,72,1,4,217.54999999999998,3,0,5,2
F,48,caucasian,Mid-School,50K -- 100K,North,Resort,2,2,0,BB,Yes,No,Refundable,Online,No,Check-In,No,0,129,100,2,4,258.0,1,0,4,2
F,30,caucasian,College,<25K,South,Resort,2,1,2,BB,Yes,Yes,No Deposit,Agent,No,Check-In,Yes,5,247,101,1,3,234.64999999999998,4,2,7,5
F,22,Asian American,College,25K --50K,North,Airport Hotels,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,No,0,214,51,1,4,214.0,5,3,7,5
M,60,caucasian,College,<25K,East,Resort,1,2,0,BB,Yes,No,Refundable,Direct,Yes,Check-In,Yes,10,228,26,3,3,615.6,6,1,7,6
F,23,African American,Grad,50K -- 100K,North,City Hotel,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,238,100,1,3,190.4,2,6,5,1
M,58,African American,Mid-School,50K -- 100K,West,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,216,90,2,3,388.8,4,2,7,1
M,31,caucasian,Mid-School,50K -- 100K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,240,88,4,2,912.0,4,4,7,1
F,33,Latino,College,<25K,East,City Hotel,3,1,1,HB,No,No,Refundable,Direct,Yes,Check-In,No,0,123,77,2,4,246.0,4,1,7,1
F,24,African American,College,50K -- 100K,West,Airport Hotels,1,2,0,HB,No,No,No Deposit,Direct,No,Check-In,Yes,5,234,49,2,3,444.59999999999997,4,4,5,4
M,63,caucasian,College,50K -- 100K,West,Resort,3,1,0,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-In,Yes,5,120,35,1,4,114.0,5,5,7,5
F,26,Latino,High-School,50K -- 100K,West,Resort,2,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,168,31,2,3,336.0,5,5,6,1
M,20,Asian American,High-School,<25K,East,City Hotel,3,1,1,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,130,30,2,4,208.0,6,4,7,6
F,44,Asian American,Grad,25K --50K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,203,5,3,2,578.55,6,1,7,6
F,29,African American,College,<25K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,20,186,99,1,4,148.8,3,6,7,0
M,53,Latino,Grad,25K --50K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,118,7,2,2,188.8,6,0,7,0
M,38,Asian American,College,<25K,West,Airport Hotels,3,1,1,BB,No,No,No Deposit,Online,No,Check-In,No,0,123,1,4,4,492.0,6,1,7,2
M,47,African American,Grad,<25K,North,Resort,1,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,109,7,2,3,218.0,6,0,7,0
M,57,Latino,College,25K --50K,East,Airport Hotels,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,15,244,4,1,2,207.4,6,5,7,2
F,27,Latino,Mid-School,>100K,West,City Hotel,2,2,1,HB,Yes,Yes,Refundable,Agent,No,Check-In,No,0,176,43,1,4,176.0,5,0,7,1
F,24,caucasian,College,<25K,South,Airport Hotels,1,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,103,78,2,2,164.8,4,0,7,1
M,70,Asian American,College,50K -- 100K,East,City Hotel,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,40,227,63,1,3,136.2,5,4,7,4
M,38,African American,College,50K -- 100K,North,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,25,114,38,1,3,85.5,6,2,7,5
M,58,African American,Grad,25K --50K,South,Airport Hotels,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,223,89,1,2,167.25,4,0,7,5
M,26,Latino,College,<25K,South,Airport Hotels,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,201,33,1,4,140.7,5,4,6,2
M,29,Asian American,High-School,25K --50K,West,Airport Hotels,2,1,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,115,28,1,3,92.0,6,6,7,6
F,25,African American,College,>100K,North,City Hotel,2,2,0,HB,No,No,Refundable,Direct,Yes,Check-In,No,0,176,100,1,4,176.0,12,5,3,0
F,54,Asian American,College,50K -- 100K,North,Resort,1,1,1,BB,Yes,No,Refundable,Direct,No,Check-In,Yes,40,160,26,1,2,96.0,6,1,7,6
M,18,caucasian,Grad,50K -- 100K,South,Resort,3,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,150,6,2,4,270.0,7,2,7,1
M,54,Asian American,College,50K -- 100K,North,Resort,1,2,1,BB,Yes,No,Refundable,Online,No,Check-In,Yes,5,157,80,2,3,298.3,4,6,7,2
F,35,African American,College,50K -- 100K,South,Resort,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,186,109,1,2,186.0,3,6,7,3
M,58,African American,Mid-School,<25K,South,Resort,2,2,0,HB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,172,95,1,4,172.0,4,2,7,6
M,24,Asian American,College,25K --50K,East,City Hotel,2,2,0,HB,No,No,Refundable,Online,Yes,Check-In,Yes,20,244,76,3,4,585.6,5,0,7,6
F,40,Asian American,Mid-School,>100K,North,City Hotel,1,1,1,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,241,114,1,2,192.8,3,3,7,5
F,29,Latino,Mid-School,>100K,North,Resort,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,193,109,2,4,347.40000000000003,3,0,7,4
M,37,Asian American,Grad,50K -- 100K,East,Airport Hotels,1,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,151,50,1,3,120.80000000000001,5,3,7,4
F,56,Asian American,College,<25K,East,City Hotel,1,2,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,5,145,48,3,3,413.25,5,5,7,4
F,43,caucasian,High-School,<25K,South,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,229,110,1,3,183.20000000000002,3,2,7,0
F,23,Asian American,College,<25K,North,Airport Hotels,1,3,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,5,203,1,1,4,192.85,7,0,7,1
F,27,Latino,College,<25K,North,City Hotel,2,1,0,BB,Yes,No,Refundable,Online,No,Check-In,No,0,173,6,1,3,173.0,7,3,7,2
F,21,Asian American,College,25K --50K,East,Airport Hotels,2,2,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,20,115,93,2,4,184.0,4,1,7,3
F,25,Latino,College,>100K,South,Resort,3,1,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,233,65,1,4,186.4,5,2,7,4
F,33,caucasian,College,>100K,South,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,122,103,1,3,109.8,3,6,7,4
M,31,Latino,College,<25K,East,City Hotel,2,2,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,5,167,96,2,4,317.3,4,1,7,6
M,68,caucasian,Mid-School,25K --50K,North,Airport Hotels,3,1,1,HB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,128,65,3,4,384.0,5,5,7,0
M,50,Latino,High-School,25K --50K,South,Resort,2,2,2,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,246,84,2,4,467.4,4,4,6,4
F,35,Latino,Grad,50K -- 100K,South,Airport Hotels,3,1,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,30,211,256,2,4,295.4,10,3,7,0
F,34,African American,Grad,>100K,East,Resort,1,3,2,BB,Yes,Yes,Non-Refundable,Agent,No,Check-In,Yes,20,117,91,3,4,280.8,2,3,5,3
F,48,caucasian,College,<25K,South,Airport Hotels,1,1,0,BB,Yes,No,Refundable,Direct,Yes,Check-In,No,0,165,99,1,2,165.0,4,2,7,3
M,27,African American,College,50K -- 100K,North,City Hotel,2,1,0,HB,No,No,No Deposit,Direct,No,Check-In,Yes,40,166,96,1,3,99.6,4,5,7,3
F,40,caucasian,Mid-School,50K -- 100K,North,City Hotel,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,152,77,3,3,364.8,5,4,7,4
F,33,caucasian,College,25K --50K,East,City Hotel,3,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,119,110,1,4,119.0,4,2,7,0
M,19,Latino,Grad,50K -- 100K,South,Resort,3,1,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,40,226,20,1,4,135.6,6,5,7,4
F,44,African American,Mid-School,>100K,East,Resort,1,2,1,BB,Yes,No,Refundable,Online,Yes,Check-In,No,0,135,5,3,3,405.0,7,3,7,1
F,56,African American,High-School,<25K,East,City Hotel,1,1,0,BB,Yes,Yes,No Deposit,Online,No,Check-In,Yes,5,166,6,2,2,315.4,7,6,7,5
M,63,caucasian,Mid-School,25K --50K,East,City Hotel,1,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,25,112,65,1,3,84.0,5,3,7,5
M,65,Asian American,High-School,50K -- 100K,North,Airport Hotels,2,1,1,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,199,42,1,3,159.20000000000002,4,3,5,3
F,51,Asian American,College,<25K,South,Airport Hotels,2,2,1,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,139,85,3,4,375.3,1,6,4,0
M,68,Latino,Grad,50K -- 100K,North,City Hotel,1,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,222,53,1,3,222.0,5,4,7,1
F,18,caucasian,High-School,25K --50K,West,Resort,2,2,1,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,20,168,111,1,4,134.4,4,2,7,1
F,45,African American,College,<25K,West,Resort,2,1,1,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,202,6,1,3,151.5,7,0,7,6
F,35,Asian American,College,25K --50K,South,Airport Hotels,1,1,1,BB,Yes,Yes,Refundable,Direct,Yes,Check-In,Yes,25,220,109,4,2,660.0,2,6,5,3
F,53,caucasian,College,25K --50K,South,Airport Hotels,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,5,225,3,2,4,427.5,7,3,7,6
F,60,caucasian,Mid-School,>100K,East,Resort,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,30,159,80,3,4,333.9,4,3,7,6
M,31,Asian American,College,<25K,South,City Hotel,2,1,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,10,247,102,3,3,666.9,3,3,6,0
F,25,Latino,High-School,>100K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,234,98,4,4,936.0,2,3,5,3
F,18,Latino,College,50K -- 100K,East,Resort,2,1,1,BB,Yes,Yes,No Deposit,Online,No,Check-In,Yes,5,243,112,1,3,230.85,3,1,7,1
F,18,Asian American,Grad,25K --50K,West,Airport Hotels,2,2,1,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,108,92,4,4,432.0,4,1,7,2
M,47,African American,College,25K --50K,South,City Hotel,2,2,1,HB,No,No,No Deposit,Online,No,Check-In,Yes,20,247,30,3,4,592.8000000000001,6,0,7,2
M,42,African American,College,25K --50K,East,City Hotel,2,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,191,99,1,4,181.45,4,3,7,4
F,33,African American,High-School,50K -- 100K,South,Airport Hotels,1,3,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,40,106,98,2,4,127.19999999999999,4,4,7,4
M,24,caucasian,College,25K --50K,South,City Hotel,1,2,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,10,161,66,2,3,289.8,5,2,7,5
M,46,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,2,2,2,BB,Yes,No,Refundable,Agent,Yes,Check-In,No,0,247,11,1,4,247.0,6,1,7,5
F,33,African American,Grad,50K -- 100K,East,City Hotel,2,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,40,111,76,1,3,66.6,3,2,6,1
M,55,Asian American,Mid-School,25K --50K,East,City Hotel,1,2,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,179,20,4,3,644.4,5,2,6,1
M,39,caucasian,Grad,>100K,South,Resort,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,156,15,2,3,249.60000000000002,6,0,6,1
F,46,African American,College,>100K,North,City Hotel,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,15,232,102,1,4,197.2,3,1,6,5
M,62,African American,Grad,25K --50K,West,Resort,1,2,2,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,132,15,1,3,132.0,6,6,7,0
M,36,Asian American,College,<25K,North,Resort,2,2,0,BB,No,No,Refundable,Online,No,Check-In,Yes,25,113,10,4,4,339.0,7,5,7,1
M,46,African American,Grad,25K --50K,East,Resort,3,1,0,BB,No,No,Non-Refundable,Agent,Yes,Check-In,No,0,244,89,1,4,244.0,4,5,7,3
M,67,Latino,College,>100K,South,Resort,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,245,89,1,4,171.5,4,5,7,3
F,43,African American,College,>100K,South,City Hotel,2,1,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,239,67,2,3,406.3,3,5,5,2
M,57,African American,College,25K --50K,South,Airport Hotels,1,3,0,BB,Yes,No,Refundable,Direct,Yes,Check-In,Yes,5,225,7,3,4,641.25,7,5,7,5
F,69,Asian American,College,<25K,North,Resort,2,1,1,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,202,19,4,3,646.4000000000001,6,1,7,6
M,38,caucasian,High-School,<25K,South,City Hotel,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,209,9,2,3,313.5,7,4,7,6
M,39,Latino,College,50K -- 100K,West,Resort,1,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,201,2,1,4,160.8,7,4,7,6
F,41,African American,Grad,<25K,South,Resort,1,3,2,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,107,12,1,4,101.64999999999999,6,1,7,6
F,48,Asian American,High-School,<25K,South,Airport Hotels,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,15,160,107,1,3,136.0,3,4,7,6
M,62,Asian American,College,50K -- 100K,South,Airport Hotels,2,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,212,90,1,4,169.60000000000002,4,0,7,6
F,25,Latino,Grad,50K -- 100K,South,Airport Hotels,2,2,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,20,136,36,1,4,108.80000000000001,6,6,7,0
M,59,caucasian,Mid-School,<25K,South,Resort,1,2,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,10,196,105,1,3,176.4,3,0,7,0
F,59,Latino,High-School,25K --50K,East,City Hotel,1,1,0,FB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,149,29,1,2,141.54999999999998,6,0,7,1
M,66,caucasian,Mid-School,50K -- 100K,North,City Hotel,1,1,0,FB,No,No,No Deposit,Online,No,Check-In,Yes,25,237,28,2,2,355.5,6,1,7,1
M,19,Latino,Mid-School,<25K,West,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,223,50,1,4,200.70000000000002,5,6,6,0
M,55,African American,High-School,25K --50K,West,City Hotel,2,1,1,BB,No,No,Refundable,Direct,Yes,Check-In,No,0,208,78,1,3,208.0,4,1,7,2
